id,carat,cut,color,clarity,depth,table,x,y,z,price
2219,0.41,Ideal,F,VVS2,61.9,55.0,4.78,4.79,2.96,7.017
2220,0.7,Ideal,J,VS2,61.6,56.0,5.65,5.71,3.5,7.519
2221,0.52,Ideal,E,SI1,61.4,57.0,5.18,5.15,3.17,7.265
2222,0.26,Premium,H,VVS1,59.8,59.0,4.12,4.17,2.48,6.148
2223,1.27,Very Good,I,SI1,63.0,60.0,6.86,6.8,4.3,8.803
2224,0.57,Premium,E,SI2,62.5,54.0,5.35,5.3,3.33,6.964
2225,1.03,Ideal,H,SI2,61.6,54.0,6.51,6.55,4.02,8.436
2226,0.41,Premium,E,SI2,62.9,58.0,4.77,4.74,2.99,6.775
2227,1.29,Ideal,D,VS1,62.4,55.0,6.93,6.99,4.34,9.509
2228,0.27,Very Good,E,VVS1,61.3,57.0,4.15,4.18,2.55,6.525
2229,1.06,Ideal,I,SI1,62.2,56.0,6.49,6.53,4.05,8.369
2230,0.27,Very Good,F,VVS2,62.5,59.0,4.11,4.15,2.58,6.299
2231,1.16,Ideal,F,VVS1,61.5,56.0,6.76,6.81,4.17,9.517
2232,0.98,Ideal,F,SI1,62.7,55.0,6.37,6.27,3.96,8.507
2233,0.78,Ideal,E,VS2,61.4,56.0,5.91,5.95,3.64,8.184
2234,1.0,Very Good,E,SI2,59.8,58.0,6.47,6.53,3.89,8.371
2235,0.34,Ideal,F,VS2,62.1,56.0,4.45,4.47,2.77,6.531
2236,0.33,Ideal,E,VVS2,61.8,56.0,4.44,4.46,2.75,6.792
2237,0.5,Good,E,SI2,63.7,55.0,5.03,5.08,3.22,6.982
2238,0.65,Ideal,D,VS2,62.7,57.0,5.56,5.5,3.47,7.78
2239,0.5,Good,G,VVS2,63.9,58.0,5.05,5.0,3.21,7.499
2240,0.61,Ideal,J,VS1,61.1,56.0,5.44,5.49,3.33,7.358
2241,1.07,Ideal,G,VS1,62.0,56.0,6.58,6.52,4.06,8.882
2242,0.7,Good,H,SI1,65.0,57.0,5.52,5.59,3.61,7.658
2243,0.37,Premium,G,VS2,59.7,61.0,4.72,4.66,2.8,6.85
2244,0.36,Premium,D,VS2,60.3,58.0,4.63,4.66,2.8,6.589
2245,0.36,Very Good,D,VS1,62.8,55.0,4.52,4.55,2.85,6.676
2246,0.3,Good,G,VS2,63.1,56.0,4.25,4.28,2.69,6.265
2247,0.37,Ideal,G,VS1,61.0,55.0,4.66,4.68,2.85,6.697
2248,1.26,Ideal,G,VS1,61.6,56.0,6.96,7.03,4.31,9.114
2249,0.32,Ideal,H,VVS1,61.9,55.0,4.37,4.38,2.71,6.593
2250,1.5,Fair,H,SI2,59.3,58.0,7.31,7.37,4.35,8.868
2251,0.9,Ideal,H,VS2,61.9,58.0,6.2,6.24,3.85,8.39
2252,0.39,Very Good,J,VS1,63.1,56.0,4.7,4.62,2.94,6.672
2253,0.71,Good,I,VS1,64.2,56.0,5.62,5.66,3.62,7.678
2254,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,8.249
2255,2.43,Ideal,I,SI2,62.3,59.0,8.54,8.61,5.34,9.79
2256,0.9,Good,H,SI1,62.8,62.0,6.05,6.09,3.81,8.145
2257,0.4,Ideal,I,IF,62.2,56.0,4.75,4.71,2.94,6.957
2258,0.35,Premium,F,SI1,62.3,58.0,4.53,4.49,2.81,6.617
2259,0.41,Premium,G,SI1,61.7,59.0,4.73,4.71,2.91,6.828
2260,1.06,Very Good,F,VS2,61.5,58.0,6.53,6.57,4.03,8.95
2261,0.34,Premium,I,VS1,59.5,59.0,4.55,4.59,2.72,6.286
2262,1.12,Ideal,I,SI1,62.0,56.0,6.69,6.64,4.13,8.482
2263,1.01,Ideal,G,SI1,60.6,59.0,6.45,6.49,3.92,8.527
2264,0.7,Ideal,J,VS2,61.8,53.0,5.73,5.76,3.55,7.536
2265,0.9,Very Good,H,VS1,61.7,58.0,6.18,6.26,3.84,8.404
2266,0.6,Very Good,H,VS2,60.8,60.0,5.39,5.44,3.29,7.351
2267,0.3,Premium,D,SI2,62.2,59.0,4.3,4.25,2.66,6.353
2268,1.51,Very Good,I,VS1,61.8,63.0,7.34,7.28,4.52,9.174
2269,1.18,Ideal,I,VVS1,62.6,54.0,6.74,6.78,4.23,8.817
2270,1.23,Very Good,F,VS1,62.0,59.0,6.84,6.87,4.25,9.214
2271,0.5,Ideal,F,SI1,62.7,57.0,5.09,5.06,3.18,7.228
2272,1.5,Ideal,F,VS2,62.4,55.0,7.31,7.25,4.54,9.561
2273,0.31,Very Good,G,VS2,58.8,62.0,4.4,4.41,2.59,6.155
2274,1.16,Ideal,G,VS2,62.3,57.0,6.72,6.66,4.17,8.882
2275,0.62,Premium,E,SI2,58.6,58.0,5.58,5.52,3.25,7.163
2276,2.28,Premium,J,VS1,60.3,58.0,8.58,8.53,5.16,9.691
2277,1.51,Very Good,J,VS2,61.0,58.0,7.35,7.41,4.5,8.955
2278,0.37,Ideal,J,VS1,62.6,57.0,4.57,4.54,2.85,6.436
2279,0.87,Very Good,H,SI2,61.0,56.0,6.15,6.19,3.77,8.004
2280,0.96,Fair,H,I1,61.5,63.0,6.22,6.06,3.78,7.401
2281,0.53,Premium,F,VS2,61.6,57.1,5.15,5.21,3.19,7.445
2282,0.77,Very Good,G,SI1,63.6,57.0,5.79,5.88,3.71,7.978
2283,0.77,Ideal,D,VS1,62.2,55.0,5.85,5.88,3.65,8.304
2284,0.36,Ideal,G,SI1,62.7,55.0,4.59,4.54,2.86,6.535
2285,1.51,Premium,G,SI1,62.6,58.0,7.27,7.3,4.56,9.319
2286,0.5,Premium,E,SI1,59.9,58.0,5.18,5.17,3.1,7.373
2287,1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,8.356
2288,0.31,Good,E,VS2,59.1,56.0,4.41,4.46,2.62,6.479
2289,0.31,Premium,I,VVS2,62.1,58.0,4.33,4.37,2.7,6.299
2290,1.01,Good,F,SI2,58.2,63.0,6.51,6.55,3.8,8.323
2291,0.32,Ideal,E,VS2,61.0,56.0,4.4,4.42,2.69,6.495
2292,0.51,Ideal,D,VS2,61.9,57.0,5.09,5.15,3.17,7.488
2293,1.24,Ideal,H,VVS2,62.0,56.0,6.92,6.86,4.27,8.996
2294,2.0,Premium,D,SI2,59.3,62.0,8.12,8.06,4.8,9.44
2295,1.52,Premium,H,SI2,62.0,58.0,7.37,7.34,4.56,8.957
2296,0.81,Very Good,F,SI2,63.2,58.0,5.91,5.92,3.74,7.953
2297,0.31,Premium,E,VVS2,60.4,59.0,4.34,4.37,2.63,6.704
2298,1.53,Very Good,H,SI1,63.4,55.0,7.3,7.34,4.64,9.257
2299,1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,9.067
2300,1.58,Premium,G,VS1,62.1,59.0,7.46,7.43,4.62,9.445
2301,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,8.704
2302,0.28,Good,H,VVS1,56.0,64.0,4.38,4.41,2.46,6.174
2303,0.36,Very Good,G,SI2,61.9,56.0,4.55,4.59,2.83,6.159
2304,0.53,Ideal,F,VS1,60.8,55.0,5.26,5.3,3.21,7.57
2305,1.02,Premium,I,SI1,61.7,58.0,6.48,6.45,3.99,8.322
2306,1.01,Fair,D,SI2,65.3,55.0,6.33,6.19,4.09,8.344
2307,0.76,Ideal,D,VS2,63.0,56.0,5.83,5.79,3.66,8.086
2308,0.36,Ideal,G,SI1,61.5,54.0,4.6,4.63,2.84,6.347
2309,0.41,Very Good,G,VS1,60.7,58.0,4.79,4.83,2.92,6.801
2310,0.38,Ideal,H,VVS2,61.4,57.0,4.65,4.63,2.85,6.974
2311,0.39,Very Good,G,VVS2,63.4,57.0,4.65,4.62,2.94,6.863
2312,2.29,Premium,I,VS2,60.8,60.0,8.5,8.47,5.16,9.843
2313,0.33,Very Good,J,VS1,62.8,58.0,4.38,4.41,2.76,6.073
2314,0.54,Ideal,D,VS2,61.1,57.0,5.29,5.19,3.2,7.597
2315,1.12,Very Good,F,SI2,61.5,58.0,6.63,6.68,4.09,8.508
2316,0.55,Ideal,E,VS1,62.0,56.0,5.24,5.27,3.26,7.601
2317,1.33,Premium,I,SI2,62.4,58.0,7.04,7.02,4.39,8.671
2318,0.31,Ideal,F,VVS1,62.1,56.0,4.38,4.35,2.71,6.866
2319,1.18,Ideal,E,VVS2,61.5,57.0,6.8,6.75,4.17,9.385
2320,0.42,Very Good,F,SI1,63.4,56.0,4.8,4.76,3.03,6.831
2321,0.41,Ideal,E,VS1,62.7,57.0,4.76,4.72,2.97,7.05
2322,0.41,Premium,E,SI1,62.3,56.0,4.78,4.76,2.97,6.965
2323,1.21,Premium,D,SI2,59.7,58.0,7.06,6.96,4.19,8.506
2324,0.31,Good,F,SI1,64.1,61.0,4.29,4.2,2.72,6.426
2325,0.57,Ideal,E,VVS2,62.0,57.0,5.29,5.33,3.29,7.803
2326,0.4,Very Good,E,VS1,62.4,54.0,4.71,4.75,2.95,6.959
2327,0.72,Ideal,F,VVS2,62.3,57.0,5.72,5.74,3.57,8.227
2328,2.51,Premium,H,SI2,59.3,61.0,8.81,8.77,5.21,9.585
2329,0.7,Premium,G,VS1,62.6,60.0,5.66,5.58,3.52,7.838
2330,0.91,Very Good,I,VS2,61.0,57.0,6.2,6.26,3.8,8.206
2331,0.34,Premium,G,VS2,62.0,59.0,4.47,4.43,2.76,6.64
2332,0.57,Ideal,D,VS1,61.1,57.0,5.33,5.37,3.27,7.622
2333,1.2,Ideal,G,VS2,62.4,54.7,6.79,6.85,4.25,8.992
2334,1.7,Very Good,G,VS1,61.8,53.0,7.63,7.67,4.73,9.754
2335,2.0,Good,J,I1,63.6,62.0,7.97,7.8,5.02,8.783
2336,1.61,Very Good,E,SI2,60.4,58.0,7.59,7.64,4.6,9.267
2337,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,9.142
2338,0.62,Very Good,G,VS1,60.1,58.0,5.52,5.54,3.32,7.678
2339,0.52,Premium,E,SI1,62.3,59.0,5.16,5.08,3.19,7.363
2340,1.09,Very Good,D,IF,61.7,58.0,6.55,6.65,4.07,9.811
2341,0.3,Premium,H,SI1,61.2,62.0,4.31,4.28,2.63,6.292
2342,0.34,Ideal,D,SI1,61.2,57.0,4.51,4.48,2.75,6.688
2343,0.3,Very Good,I,VS1,60.8,59.0,4.3,4.32,2.62,6.159
2344,1.01,Premium,E,VS2,62.9,59.0,6.36,6.3,3.98,8.796
2345,0.31,Premium,E,VS2,61.6,59.0,4.35,4.32,2.67,6.771
2346,0.31,Premium,F,VS2,62.0,58.0,4.37,4.31,2.69,6.687
2347,1.4,Premium,I,VVS2,62.0,58.0,7.22,7.16,4.46,9.044
2348,0.92,Ideal,F,SI2,61.5,56.0,6.27,6.32,3.87,8.233
2349,0.57,Ideal,F,VS1,62.6,56.0,5.27,5.33,3.32,7.575
2350,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,6.075
2351,1.3,Premium,H,SI2,60.1,57.0,7.17,7.13,4.3,8.765
2352,0.42,Ideal,G,VS1,62.7,54.0,4.83,4.8,3.02,6.892
2353,0.32,Ideal,F,VVS2,62.1,56.0,4.4,4.46,2.75,6.608
2354,1.5,Premium,I,SI2,59.5,62.0,7.46,7.39,4.42,8.873
2355,2.32,Very Good,H,SI2,60.6,58.0,8.56,8.6,5.2,9.826
2356,0.42,Ideal,F,VVS2,60.6,57.0,4.85,4.82,2.93,7.107
2357,1.21,Premium,G,SI2,60.9,59.0,6.87,6.82,4.17,8.406
2358,1.11,Premium,H,VS2,62.4,58.0,6.69,6.57,4.14,8.622
2359,0.5,Very Good,F,VVS2,61.0,61.0,5.09,5.11,3.11,7.607
2360,1.13,Very Good,G,SI1,63.1,58.0,6.65,6.59,4.18,8.617
2361,1.72,Very Good,F,SI1,63.2,61.0,7.62,7.57,4.8,9.519
2362,1.04,Very Good,G,VS2,61.1,56.0,6.54,6.56,4.01,8.754
2363,0.6,Very Good,H,VS1,60.2,60.0,5.45,5.48,3.29,7.426
2364,0.45,Premium,G,VVS1,60.8,58.0,4.98,4.92,3.01,7.188
2365,1.01,Good,F,VS2,61.7,58.0,6.3,6.34,3.9,8.746
2366,0.3,Very Good,H,SI2,63.4,55.0,4.26,4.22,2.69,6.045
2367,0.52,Premium,F,SI1,59.5,59.0,5.31,5.24,3.14,7.199
2368,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8.808
2369,0.3,Very Good,D,VS2,62.5,57.0,4.26,4.28,2.67,6.507
2370,1.51,Premium,F,VS1,61.7,59.0,7.33,7.29,4.51,9.654
2371,1.0,Very Good,F,SI2,62.9,59.0,6.27,6.38,3.98,8.303
2372,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,5.996
2373,0.31,Very Good,F,SI1,62.9,57.0,4.31,4.34,2.72,6.246
2374,2.02,Premium,G,SI2,60.1,59.0,8.29,8.21,4.96,9.747
2375,0.8,Premium,E,SI1,61.5,58.0,5.93,5.97,3.66,8.119
2376,0.34,Premium,F,VS1,60.0,59.0,4.59,4.55,2.74,6.586
2377,1.53,Ideal,I,VS2,62.1,55.0,7.43,7.35,4.59,9.118
2378,0.57,Ideal,D,VS2,62.5,57.0,5.28,5.31,3.31,7.557
2379,0.31,Premium,H,VS1,61.8,61.0,4.36,4.32,2.68,6.548
2380,1.23,Ideal,I,VVS1,62.1,57.0,6.9,6.83,4.26,8.87
2381,0.39,Ideal,E,VS2,60.4,56.0,4.73,4.7,2.85,6.893
2382,1.73,Ideal,I,VS1,61.4,57.0,7.7,7.65,4.71,9.492
2383,1.2,Premium,J,SI1,62.8,58.0,6.77,6.7,4.23,8.322
2384,0.32,Ideal,D,VS2,62.7,57.0,4.4,4.44,2.77,6.631
2385,1.01,Premium,J,SI2,61.8,60.0,6.37,6.41,3.95,8.16
2386,0.42,Ideal,E,VS2,62.1,56.0,4.77,4.8,2.97,6.865
2387,0.5,Premium,G,VS1,59.7,60.0,5.14,5.11,3.06,7.465
2388,0.52,Ideal,E,VS2,61.1,57.0,5.18,5.2,3.17,7.432
2389,0.39,Ideal,I,VS2,62.9,57.0,4.68,4.64,2.93,6.726
2390,1.01,Very Good,F,VS2,63.1,56.0,6.41,6.37,4.03,8.743
2391,0.38,Ideal,G,SI1,61.6,54.0,4.68,4.71,2.89,6.565
2392,0.35,Ideal,G,VS1,61.9,55.0,4.53,4.51,2.8,6.809
2393,2.19,Premium,H,SI1,61.6,58.0,8.35,8.3,5.13,9.742
2394,0.9,Good,G,SI2,61.3,60.0,6.13,6.2,3.78,8.118
2395,1.3,Very Good,I,SI1,62.3,58.0,6.93,6.96,4.33,8.749
2396,0.31,Premium,E,SI1,60.1,61.0,4.4,4.35,2.63,6.548
2397,0.71,Good,D,VS1,64.2,58.0,5.65,5.6,3.61,8.213
2398,0.28,Ideal,D,VS2,61.2,57.0,4.2,4.23,2.58,6.188
2399,0.24,Very Good,E,VS1,61.5,57.0,3.99,4.07,2.48,5.878
2400,0.7,Ideal,F,VS2,62.2,55.0,5.66,5.72,3.54,7.892
2401,0.25,Ideal,F,VS2,62.2,54.0,4.03,4.07,2.52,6.131
2402,0.34,Ideal,H,SI1,62.6,56.0,4.46,4.48,2.8,6.194
2403,0.5,Very Good,I,SI1,62.4,58.0,5.0,5.06,3.14,6.955
2404,1.63,Premium,G,SI1,61.0,59.0,7.64,7.58,4.64,9.369
2405,0.31,Ideal,D,VVS2,61.9,57.0,4.35,4.31,2.68,6.89
2406,2.24,Very Good,H,SI2,62.3,57.0,8.3,8.36,5.19,9.685
2407,0.36,Very Good,E,SI1,62.9,56.0,4.52,4.57,2.86,6.447
2408,0.31,Premium,F,VS2,62.0,60.0,4.3,4.34,2.68,6.438
2409,0.72,Very Good,J,VS1,62.7,58.0,5.67,5.72,3.57,7.595
2410,0.92,Very Good,H,SI1,60.6,60.0,6.28,6.33,3.82,8.243
2411,1.02,Ideal,E,SI2,60.3,57.0,6.53,6.5,3.95,8.476
2412,0.28,Very Good,F,VVS2,62.6,55.0,4.18,4.2,2.62,6.561
2413,0.45,Good,F,VVS1,63.8,58.0,4.85,4.78,3.07,7.345
2414,0.34,Premium,H,SI1,60.2,58.0,4.48,4.52,2.71,6.168
2415,0.7,Very Good,H,IF,62.8,56.0,5.62,5.65,3.54,7.966
2416,1.02,Premium,F,SI1,62.9,55.0,6.47,6.41,4.05,8.61
2417,0.34,Ideal,I,VS1,61.8,55.0,4.48,4.52,2.78,6.319
2418,0.34,Ideal,G,VS2,62.1,57.0,4.46,4.5,2.78,6.39
2419,1.09,Premium,D,SI2,62.8,56.0,6.49,6.45,4.06,8.42
2420,0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6,7.932
2421,0.4,Ideal,J,SI1,62.2,57.0,4.71,4.74,2.94,6.314
2422,0.48,Fair,E,SI2,55.2,60.0,5.29,5.25,2.91,6.81
2423,0.7,Good,E,VS2,64.2,60.0,5.64,5.58,3.6,7.789
2424,0.51,Very Good,D,SI1,61.7,58.0,5.09,5.12,3.15,7.246
2425,1.01,Ideal,G,VS1,62.4,58.0,6.43,6.39,4.0,8.847
2426,0.38,Very Good,H,SI2,63.4,57.0,4.63,4.58,2.92,6.554
2427,1.0,Premium,H,VS1,60.7,59.0,6.44,6.4,3.9,8.592
2428,0.51,Ideal,E,VS1,61.8,56.0,5.17,5.19,3.2,7.523
2429,0.92,Fair,E,SI1,66.8,55.0,6.04,5.99,4.02,8.408
2430,0.3,Very Good,F,VS1,59.8,60.0,4.39,4.31,2.6,6.461
2431,1.22,Ideal,E,VVS2,63.0,55.0,6.83,6.78,4.29,9.396
2432,0.72,Premium,H,SI1,62.7,59.0,5.69,5.73,3.58,7.731
2433,0.73,Premium,F,SI1,58.7,59.0,5.97,5.92,3.49,7.88
2434,1.21,Premium,G,VS1,59.5,58.0,7.01,6.97,4.16,9.043
2435,1.51,Very Good,G,SI2,60.5,54.6,7.36,7.4,4.46,9.064
2436,0.23,Very Good,D,VVS2,62.4,53.0,3.94,3.95,2.46,6.127
2437,0.47,Ideal,E,VS2,61.7,56.0,5.01,4.98,3.08,7.14
2438,0.9,Very Good,D,SI1,61.5,58.0,6.15,6.21,3.8,8.385
2439,1.02,Ideal,H,SI1,58.8,57.0,6.66,6.6,3.9,8.48
2440,0.9,Good,F,SI2,63.2,57.0,6.09,6.15,3.87,8.092
2441,0.9,Very Good,F,SI1,62.8,59.0,6.1,6.16,3.85,8.318
2442,1.59,Very Good,I,VS2,61.1,58.6,7.49,7.53,4.59,9.241
2443,0.67,Good,D,SI2,64.7,55.0,5.5,5.54,3.57,7.417
2444,1.12,Very Good,E,SI2,60.9,63.0,6.59,6.65,4.03,8.241
2445,0.9,Premium,H,SI2,61.1,58.0,6.21,6.13,3.77,7.913
2446,1.53,Premium,J,IF,61.1,58.0,7.41,7.45,4.54,9.151
2447,0.91,Ideal,F,SI2,62.2,56.0,6.17,6.14,3.83,8.228
2448,1.35,Ideal,J,VS2,61.8,54.0,7.1,7.14,4.4,8.818
2449,1.04,Very Good,G,SI1,61.8,59.0,6.49,6.55,4.03,8.531
2450,0.51,Ideal,D,VS2,61.7,55.0,5.11,5.14,3.16,7.488
2451,1.5,Ideal,G,SI2,61.5,57.0,7.33,7.39,4.53,8.979
2452,0.58,Ideal,F,SI1,62.2,57.0,5.37,5.33,3.33,7.441
2453,1.51,Good,D,SI2,61.7,65.0,7.31,7.38,4.53,8.907
2454,1.73,Very Good,H,VS2,59.2,61.0,7.78,7.82,4.62,9.481
2455,0.33,Ideal,G,VS1,62.3,57.0,4.38,4.42,2.74,6.501
2456,0.52,Very Good,G,VS1,62.4,60.0,5.11,5.12,3.19,7.432
2457,1.75,Very Good,E,SI1,60.3,61.0,7.74,7.82,4.69,9.633
2458,1.0,Good,F,VS2,64.4,56.0,6.23,6.28,4.03,8.595
2459,1.58,Premium,F,SI2,59.1,59.0,7.68,7.59,4.51,8.731
2460,0.24,Ideal,F,VVS2,61.8,56.0,3.97,4.02,2.47,6.314
2461,0.39,Ideal,F,VVS1,60.9,55.0,4.75,4.8,2.91,6.993
2462,0.32,Ideal,E,VVS1,62.3,54.0,4.37,4.4,2.73,6.821
2463,1.51,Ideal,G,SI1,61.6,57.0,7.34,7.31,4.52,9.386
2464,0.81,Premium,E,SI1,60.8,59.0,5.95,5.99,3.63,8.093
2465,0.47,Ideal,I,VS2,62.1,54.0,4.98,5.0,3.1,6.784
2466,1.01,Very Good,D,VVS2,60.2,58.0,6.51,6.57,3.94,9.207
2467,0.53,Good,E,SI1,63.6,56.0,5.19,5.1,3.27,7.053
2468,1.01,Premium,G,SI1,60.2,59.0,6.54,6.49,3.92,8.563
2469,0.5,Premium,F,SI1,61.2,59.0,5.13,5.1,3.13,6.969
2470,0.3,Premium,G,VVS2,62.3,59.0,4.29,4.25,2.66,6.778
2471,1.0,Premium,H,SI2,59.4,60.0,6.55,6.49,3.87,8.12
2472,0.31,Ideal,I,SI1,62.5,56.0,4.29,4.35,2.7,6.035
2473,0.51,Premium,G,VVS1,61.6,59.0,5.12,5.08,3.14,7.586
2474,0.71,Very Good,F,SI2,63.2,57.0,5.66,5.7,3.59,7.782
2475,1.23,Ideal,I,VS2,62.4,58.0,6.82,6.86,4.27,8.827
2476,0.38,Ideal,F,SI1,61.3,55.0,4.63,4.76,2.88,6.565
2477,0.28,Ideal,H,VVS2,62.0,57.0,4.21,4.24,2.62,6.258
2478,0.39,Ideal,E,IF,62.5,57.0,4.7,4.74,2.95,7.129
2479,1.07,Ideal,E,SI2,61.7,57.0,6.59,6.56,4.06,8.383
2480,1.5,Very Good,H,SI1,62.0,63.0,7.24,7.19,4.47,8.917
2481,1.04,Ideal,G,VS1,60.7,55.0,6.57,6.61,4.0,8.943
2482,0.31,Ideal,H,VS1,61.7,57.0,4.34,4.38,2.69,6.299
2483,1.05,Premium,E,IF,59.0,58.0,6.66,6.7,3.94,9.379
2484,1.01,Ideal,G,SI1,62.6,56.0,6.37,6.41,4.0,8.648
2485,1.2,Premium,H,SI2,62.2,58.0,6.79,6.74,4.21,8.59
2486,1.91,Premium,I,SI1,59.6,60.0,8.02,7.98,4.77,9.48
2487,0.7,Good,F,SI1,58.7,64.0,5.77,5.78,3.39,7.853
2488,0.44,Very Good,H,IF,61.1,57.0,4.91,4.94,3.01,7.085
2489,0.77,Very Good,I,VS2,63.4,58.0,5.81,5.74,3.66,7.724
2490,0.59,Very Good,E,VS1,60.0,56.0,5.46,5.5,3.29,7.611
2491,0.71,Good,H,SI1,58.3,61.0,5.84,5.79,3.39,7.664
2492,0.51,Good,H,VS2,61.8,65.0,5.07,5.02,3.12,7.028
2493,0.5,Fair,G,I1,64.9,57.0,5.01,4.97,3.24,6.589
2494,1.08,Premium,D,SI1,61.6,56.0,6.64,6.57,4.07,8.598
2495,1.51,Premium,H,IF,60.2,60.0,7.41,7.44,4.47,9.478
2496,0.78,Ideal,F,VS2,61.3,57.0,5.91,5.93,3.63,8.089
2497,1.01,Good,H,SI2,63.7,55.0,6.37,6.32,4.04,8.312
2498,0.54,Premium,D,VS2,60.9,58.0,5.27,5.31,3.22,7.545
2499,0.78,Ideal,H,VS2,61.6,56.0,5.94,5.91,3.64,7.996
2500,0.23,Ideal,F,VVS2,62.0,56.0,3.92,3.98,2.45,6.273
2501,0.37,Very Good,D,VS1,61.1,58.0,4.66,4.7,2.86,6.709
2502,0.42,Ideal,D,VVS2,62.0,55.0,4.84,4.81,2.99,7.098
2503,1.14,Ideal,H,SI1,61.6,57.0,6.68,6.73,4.13,8.546
2504,0.5,Good,D,SI1,63.6,58.0,5.05,5.08,3.22,7.27
2505,1.38,Ideal,G,VVS1,61.8,56.0,7.15,7.12,4.41,9.492
2506,0.34,Very Good,F,VS1,61.1,60.0,4.46,4.51,2.74,6.678
2507,1.51,Very Good,E,VVS2,60.2,61.0,7.34,7.4,4.44,9.781
2508,0.84,Ideal,J,SI1,61.8,56.0,6.04,6.07,3.74,7.821
2509,1.01,Good,F,SI2,58.3,60.0,6.64,6.66,3.88,8.297
2510,1.06,Very Good,G,VS1,63.0,56.0,6.47,6.51,4.09,8.834
2511,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,9.691
2512,1.09,Ideal,H,SI1,60.9,55.0,6.72,6.69,4.08,8.599
2513,0.3,Ideal,H,VVS2,62.7,53.0,4.29,4.32,2.7,6.38
2514,0.55,Ideal,F,SI2,61.2,56.0,5.23,5.29,3.22,7.069
2515,0.72,Very Good,J,SI2,60.1,58.0,5.79,5.82,3.49,7.489
2516,0.9,Ideal,G,SI1,60.3,56.0,6.27,6.23,3.77,8.237
2517,0.61,Premium,H,SI1,61.2,58.0,5.45,5.43,3.33,7.37
2518,1.0,Fair,G,SI1,68.2,60.0,6.02,5.94,4.08,8.251
2519,1.01,Good,D,SI1,58.4,62.0,6.48,6.5,3.79,8.648
2520,1.01,Premium,H,VS1,61.1,58.0,6.45,6.48,3.95,8.597
2521,0.5,Very Good,G,VVS1,61.5,56.0,5.11,5.14,3.15,7.519
2522,1.21,Good,J,SI2,60.4,56.0,6.84,6.93,4.16,8.425
2523,0.52,Ideal,D,VS2,61.5,56.0,5.15,5.19,3.18,7.508
2524,0.71,Ideal,D,VS1,62.5,57.0,5.71,5.68,3.56,8.036
2525,0.32,Premium,E,SI1,61.2,58.0,4.42,4.37,2.69,6.51
2526,1.27,Ideal,G,VS1,59.6,57.0,7.06,7.09,4.22,9.134
2527,1.0,Good,D,VS2,60.8,61.0,6.33,6.4,3.87,8.731
2528,0.92,Premium,F,SI2,58.9,59.0,6.38,6.35,3.75,8.096
2529,0.46,Fair,F,VS2,66.0,58.0,4.9,4.76,3.19,6.89
2530,0.24,Ideal,I,VVS1,62.3,57.0,3.98,3.95,2.47,6.068
2531,0.9,Ideal,H,VS1,60.9,56.0,6.25,6.27,3.81,8.52
2532,0.9,Premium,E,SI1,59.8,58.0,6.26,6.21,3.73,8.317
2533,0.71,Good,I,SI1,64.2,57.0,5.59,5.57,3.58,7.447
2534,0.31,Ideal,H,VS1,61.6,54.8,4.35,4.37,2.69,6.323
2535,0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51,7.929
2536,0.99,Fair,J,SI1,58.0,67.0,6.57,6.5,3.79,7.989
2537,0.66,Very Good,G,IF,60.5,59.0,5.69,5.74,3.46,8.023
2538,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,6.43
2539,1.1,Premium,F,VS2,61.1,57.0,6.71,6.65,4.08,8.87
2540,1.0,Premium,D,VVS2,58.3,61.0,6.55,6.48,3.8,9.135
2541,0.31,Very Good,E,VS1,61.2,61.0,4.29,4.37,2.65,6.375
2542,1.19,Good,I,SI1,63.7,57.2,6.69,6.73,4.28,8.563
2543,0.33,Ideal,D,VS1,60.9,57.0,4.5,4.47,2.73,6.864
2544,0.7,Very Good,G,SI1,59.1,62.0,5.8,5.91,3.46,7.891
2545,0.3,Premium,D,VS2,61.0,58.0,4.32,4.34,2.64,6.565
2546,0.3,Ideal,F,VS1,61.7,56.0,4.32,4.34,2.67,6.346
2547,0.3,Ideal,I,VVS1,62.1,56.0,4.3,4.33,2.68,6.314
2548,0.32,Ideal,E,VS2,61.3,57.0,4.42,4.45,2.72,6.554
2549,0.24,Ideal,F,VVS2,62.1,56.0,3.96,3.99,2.46,6.519
2550,1.21,Ideal,D,SI1,63.0,57.0,6.82,6.76,4.28,8.934
2551,0.3,Very Good,I,SI1,60.5,62.0,4.33,4.37,2.63,5.976
2552,0.43,Very Good,E,SI2,61.8,60.0,4.83,4.85,2.99,6.534
2553,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9.01
